"projectID";"legalBasis";"title";"uniqueProgrammePart"
"101116116";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117317";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117769";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117025";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116444";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117080";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116792";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116404";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116021";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117644";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101114653";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115963";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115856";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116659";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116029";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117905";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116095";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116962";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116688";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117700";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116639";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116966";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115557";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117090";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116249";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116569";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115867";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115653";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117639";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117820";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117421";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117864";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116288";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117882";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116562";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116774";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117300";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101103502";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117761";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117327";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117267";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117101";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115883";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116206";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116685";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117085";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117240";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115996";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116348";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115529";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101114910";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116890";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115812";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115323";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116274";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115811";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116811";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117043";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116087";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116340";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116550";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115790";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116212";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115997";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117824";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117227";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101116763";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117435";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101045340";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101157871";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101126053";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101082333";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101079363";"HORIZON.4.1.2";"Twinning";""
"101079363";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101105252";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101064285";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101053857";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101130784";"HORIZON.4.1.5";"Fostering brain circulation of researchers and excellence initiatives";""
"101130784";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101072686";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101100509";"HORIZON.3.2";"European innovation ecosystems";"true"
"101100509";"HORIZON.3.2.3";"Joint programmes close to innovators";""
"101066903";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101054387";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101107715";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101108361";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101113421";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101064064";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101080250";"HORIZON.2.1";"Health";"true"
"101080250";"HORIZON.2.1.1";"Health throughout the Life Course";""
"101061858";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101110108";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101103296";"HORIZON.2.1";"Health";"true"
"101078083";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101117770";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101043465";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101137232";"HORIZON.2.1";"Health";"true"
"101137232";"HORIZON.2.1.3";"Non-Communicable and Rare Diseases";""
"101062626";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101081280";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101116083";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101125383";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101108847";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101061330";"HORIZON.2.2";"Culture, creativity and inclusive society";"true"
"101061330";"HORIZON.2.2.1";"Democracy and Governance";""
"101072435";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101116507";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101120853";"HORIZON.2.3.3";"Cybersecurity";""
"101120853";"HORIZON.2.3";"Civil Security for Society";"true"
"101107702";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101105988";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101061882";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101102324";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101106384";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101042650";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101054836";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101079379";"HORIZON.4.1.2";"Twinning";""
"101079379";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101073237";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101081515";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101054147";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101043127";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101073251";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101108755";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101116161";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101126636";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101108983";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101086521";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101086521";"HORIZON.2.6.1";"Environmental Observation";""
"101059849";"HORIZON.2.6.5";"Food Systems";""
"101059849";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101103900";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101109483";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101119497";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101058830";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101095142";"HORIZON.2.2";"Culture, creativity and inclusive society";"true"
"101095142";"HORIZON.2.2.1";"Democracy and Governance";""
"101094366";"HORIZON.2.1";"Health";"true"
"101094366";"HORIZON.2.1.6";"Health Care Systems";""
"101061123";"HORIZON.2.2";"Culture, creativity and inclusive society";"true"
"101061123";"HORIZON.2.2.3";"Social and Economic Transformations";""
"101039174";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101109669";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101057388";"HORIZON.1.3";"Research infrastructures";"true"
"101057388";"HORIZON.1.3.1";"Consolidating and Developing the Landscape of European Research Infrastructures";""
"101040978";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101061353";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059679";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101119911";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073440";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101110740";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101089326";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101094714";"HORIZON.4.2";"Reforming and enhancing the European R&I System";"true"
"101094714";"HORIZON.4.2.9";"Ethics and integrity";""
"101107577";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101075511";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101041487";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101126560";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101060211";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060211";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112318";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112318";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112407";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112407";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060703";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060703";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112370";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112370";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112378";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112378";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101082070";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101082070";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060361";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060361";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060558";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060558";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112541";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112541";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112436";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112436";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112345";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112345";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101061015";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101061015";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101059260";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101059260";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060684";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060684";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060501";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060501";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112409";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112409";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112453";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112453";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101081823";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101081823";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101111996";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101111996";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060625";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060625";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101060814";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101060814";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101059900";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101059900";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112581";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112581";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101112452";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101112452";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101065126";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101081463";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101107888";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101060102";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101060102";"HORIZON.4.1.1";"Teaming";""
"101060011";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101060011";"HORIZON.4.1.1";"Teaming";""
"101057129";"HORIZON.2.1";"Health";"true"
"101057129";"HORIZON.2.1.4";"Infectious Diseases, including poverty-related and neglected diseases";""
"101073922";"HORIZON.2.3.2";"Protection and Security";""
"101073922";"HORIZON.2.3";"Civil Security for Society";"true"
"101121281";"HORIZON.2.3.2";"Protection and Security";""
"101121281";"HORIZON.2.3";"Civil Security for Society";"true"
"101114520";"HORIZON.3.2";"European innovation ecosystems";"true"
"101063837";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073928";"HORIZON.2.3.2";"Protection and Security";""
"101073928";"HORIZON.2.3";"Civil Security for Society";"true"
"101061575";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101081931";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101081931";"HORIZON.2.6.6";"Bio-based Innovation Systems in the EU Bioeconomy";""
"101082184";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101082184";"HORIZON.2.6.7";"Circular Systems";""
"101081928";"HORIZON.2.6.3";"Agriculture, Forestry and Rural Areas";""
"101081928";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101082265";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101082265";"HORIZON.2.6.7";"Circular Systems";""
"101082051";"HORIZON.2.6.3";"Agriculture, Forestry and Rural Areas";""
"101082051";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101082068";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101082068";"HORIZON.2.6.7";"Circular Systems";""
"101061314";"HORIZON.2.2";"Culture, creativity and inclusive society";"true"
"101098319";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101076190";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101121182";"HORIZON.2.3.2";"Protection and Security";""
"101121182";"HORIZON.2.3";"Civil Security for Society";"true"
"101073932";"HORIZON.2.3.2";"Protection and Security";""
"101073932";"HORIZON.2.3";"Civil Security for Society";"true"
"101056737";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101093345";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101068833";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059558";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101116718";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101066188";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073920";"HORIZON.2.3.2";"Protection and Security";""
"101073920";"HORIZON.2.3";"Civil Security for Society";"true"
"101066084";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101073990";"HORIZON.2.3.2";"Protection and Security";""
"101073990";"HORIZON.2.3";"Civil Security for Society";"true"
"101089163";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101055397";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115901";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101121269";"HORIZON.2.3.2";"Protection and Security";""
"101121269";"HORIZON.2.3";"Civil Security for Society";"true"
"101105274";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101124977";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101088156";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101119678";"HORIZON.4.1.5";"Fostering brain circulation of researchers and excellence initiatives";""
"101119678";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101073952";"HORIZON.2.3.2";"Protection and Security";""
"101073952";"HORIZON.2.3";"Civil Security for Society";"true"
"101055176";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101159051";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101069312";"HORIZON.1.1";"European Research Council (ERC)";"true"
